scene_id,Weather,Time of Day,Same direction Vehicle Traffic,Road Type,Oncoming vehicle traffic,Cross vehicle traffic,Pedestrian crossing road,Pedestrian on sidewalk,Cyclists / motorbike present,Large Exposure Change,Traffic Light Change,Changing brake light / indicator
scene_001,Overcast,Day,Yes,Urban,Yes,No,No,Yes,Yes,No,Yes,Yes
scene_002,Rainy,Day,No,Urban,Yes,No,Yes,Yes,No,No,Yes,No
scene_003,Sunny,Day,Yes,Urban,Yes,No,No,No,No,Yes,No,Yes
scene_004,Overcast,Day,No,Residential,No,No,No,Yes,No,No,No,No
scene_005,Overcast,Day,Yes,Urban,Yes,Yes,No,Yes,Yes,No,No,Yes
scene_006,Sunny,Day,Yes,Urban,Yes,No,No,No,No,No,No,No
scene_007,Sunny,Day,Yes,Urban,Yes,Yes,No,Yes,No,Yes,Yes,Yes
scene_008,Sunny,Day,Yes,Residential,Yes,Yes,No,Yes,No,Yes,No,No
scene_009,Sunny,Day,Yes,Urban,Yes,No,No,Yes,No,Yes,Yes,Yes
scene_010,Sunny,Day,Yes,Urban,Yes,No,No,No,No,Yes,No,Yes
scene_011,Sunny,Day,Yes,Residential,Yes,No,No,No,No,Yes,No,No
scene_012,Overcast,Day,Yes,Urban,Yes,No,No,Yes,Yes,No,Yes,No
scene_013,Sunny,Day,No,Residential,No,No,No,No,No,Yes,No,No
scene_014,Sunny,Day,Yes,Rural,Yes,No,No,No,No,Yes,No,Yes
scene_015,Sunny,Day,Yes,Residential,Yes,Yes,No,Yes,No,Yes,No,Yes
scene_016,Overcast,Day,Yes,Rural,No,No,No,No,No,No,No,No
scene_017,Sunny,Day,No,Highway,Yes,No,No,No,No,Yes,No,No
scene_018,Sunny,Day,Yes,Residential,Yes,No,Yes,No,No,Yes,No,No
scene_019,Sunny,Day,No,Urban,No,Yes,No,No,No,Yes,No,No
scene_020,Sunny,Day,No,Urban,No,Yes,No,No,Yes,No,No,No
scene_021,Sunny,Day,Yes,Urban,No,Yes,Yes,Yes,No,No,No,Yes
scene_022,Sunny,Day,Yes,Residential,Yes,Yes,No,No,No,No,No,Yes
scene_023,Sunny,Day,Yes,Rural,Yes,No,No,No,No,Yes,No,No
scene_024,Overcast,Dusk,No,Urban,No,No,Yes,Yes,Yes,No,No,No
scene_025,Sunny,Day,No,Urban,No,Yes,Yes,Yes,No,Yes,No,No
scene_026,Sunny,Day,No,Urban,No,No,Yes,Yes,No,No,No,No
scene_027,Rainy,Day,Yes,Rural,Yes,No,No,No,No,No,No,No
scene_028,Sunny,Day,Yes,Residential,Yes,Yes,No,No,No,No,No,No
scene_029,Sunny,Day,Yes,Highway,Yes,No,No,No,No,No,No,No
scene_030,Overcast,Day,Yes,Urban,Yes,Yes,Yes,Yes,Yes,No,No,Yes
scene_031,Overcast,Day,No,Residential,Yes,No,No,No,No,No,No,No
scene_032,Sunny,Day,Yes,Urban,No,Yes,No,Yes,No,Yes,No,Yes
scene_033,Sunny,Day,Yes,Residential,Yes,No,No,No,No,Yes,No,No
scene_034,Overcast,Day,Yes,Residential,Yes,No,No,Yes,Yes,No,No,No
scene_035,Sunny,Day,Yes,Residential,Yes,No,No,No,No,Yes,No,Yes
scene_036,Overcast,Day,No,Urban,No,Yes,No,No,No,No,No,No
scene_037,Sunny,Day,Yes,Highway,Yes,No,No,No,No,No,No,No
scene_038,Rainy,Day,No,Rural,Yes,No,No,No,No,No,No,No
scene_039,Sunny,Day,Yes,Residential,Yes,No,No,No,No,Yes,No,No
scene_040,Sunny,Day,No,Residential,No,Yes,No,No,No,No,No,No
scene_041,Rainy,Day,Yes,Rural,Yes,No,No,No,No,No,No,No
scene_042,Rainy,Day,Yes,Urban,Yes,Yes,No,No,No,No,No,No
scene_043,Overcast,Day,Yes,Highway,Yes,No,No,No,No,No,No,No
scene_044,Overcast,Day,Yes,Residential,Yes,Yes,No,No,No,No,No,No
scene_045,Sunny,Day,Yes,Urban,Yes,Yes,No,No,No,Yes,No,No
scene_046,Sunny,Day,Yes,Urban,Yes,No,No,Yes,No,Yes,No,No
scene_047,Sunny,Day,Yes,Urban,Yes,No,No,No,No,Yes,No,Yes
scene_048,Sunny,Day,No,Residential,No,No,No,No,No,No,No,No
scene_049,Rainy,Day,Yes,Residential,Yes,Yes,No,No,No,No,No,Yes
scene_050,Sunny,Day,Yes,Highway,Yes,No,No,No,No,No,No,No
scene_051,Sunny,Day,No,Residential,Yes,No,Yes,Yes,No,Yes,No,No
scene_052,Sunny,Day,Yes,Residential,Yes,No,No,No,No,Yes,No,Yes
scene_053,Sunny,Day,Yes,Urban,No,No,No,Yes,Yes,Yes,No,No
scene_054,Sunny,Day,Yes,Residential,Yes,No,No,No,No,No,No,No
scene_055,Sunny,Dusk,Yes,Urban,Yes,No,No,Yes,No,No,No,Yes
scene_056,Rainy,Day,Yes,Urban,Yes,No,No,Yes,No,No,No,Yes
scene_057,Overcast,Day,Yes,Urban,Yes,No,Yes,Yes,Yes,No,No,Yes
scene_058,Sunny,Day,Yes,Urban,No,No,No,Yes,No,No,Yes,No
scene_059,Overcast,Day,No,Urban,No,Yes,No,Yes,No,No,No,No
scene_060,Sunny,Day,Yes,Urban,Yes,No,No,Yes,Yes,No,No,No
scene_061,Overcast,Day,Yes,Urban,No,Yes,No,Yes,No,No,No,No
scene_062,Overcast,Day,Yes,Urban,Yes,No,No,Yes,No,No,No,No
scene_063,Overcast,Day,Yes,Urban,Yes,No,Yes,Yes,No,No,No,Yes
scene_064,Sunny,Day,Yes,Urban,Yes,Yes,No,Yes,Yes,No,No,No
scene_065,Sunny,Day,No,Urban,Yes,No,Yes,Yes,No,No,No,No
scene_066,Overcast,Day,Yes,Urban,No,No,No,Yes,No,No,No,Yes
scene_067,Overcast,Day,Yes,Urban,No,No,Yes,Yes,No,No,No,Yes
scene_068,Overcast,Day,Yes,Urban,Yes,No,No,Yes,Yes,No,Yes,No
scene_069,Overcast,Night,Yes,Rural,Yes,No,No,No,No,Yes,No,No
scene_070,Overcast,Night,Yes,Rural,Yes,No,No,No,No,Yes,No,No
scene_071,Rainy,Night,Yes,Highway,Yes,No,No,No,No,Yes,No,No
scene_072,Overcast,Night,No,Rural,No,Yes,No,No,No,No,No,No
scene_073,Overcast,Night,Yes,Urban,Yes,No,No,No,No,No,No,Yes
scene_074,Overcast,Day,Yes,Urban,Yes,No,No,Yes,Yes,No,No,Yes
scene_075,Sunny,Day,No,Urban,No,No,No,Yes,No,Yes,No,No
scene_076,Rainy,Day,Yes,Urban,No,No,Yes,Yes,No,No,Yes,Yes
scene_077,Overcast,Day,Yes,Urban,Yes,No,No,Yes,No,No,No,Yes
scene_078,Overcast,Day,No,Residential,No,No,No,No,No,No,No,No
scene_079,Sunny,Day,Yes,Residential,No,No,No,No,No,Yes,No,No
scene_080,Sunny,Day,No,Residential,No,No,No,No,No,Yes,No,No
scene_081,Overcast,Day,No,Residential,No,No,No,No,No,No,No,No
scene_082,Sunny,Day,No,Residential,No,No,No,No,No,Yes,No,No
scene_083,Sunny,Day,No,Residential,No,No,No,No,No,Yes,No,No
scene_084,Sunny,Day,Yes,Urban,Yes,No,Yes,Yes,No,No,No,No
scene_085,Sunny,Day,No,Residential,No,No,Yes,Yes,No,No,No,No
scene_086,Sunny,Day,No,Residential,No,No,No,No,No,No,No,No
scene_087,Sunny,Day,No,Residential,Yes,No,Yes,Yes,No,Yes,No,No
scene_088,Sunny,Day,No,Residential,No,No,No,No,No,No,No,No
scene_089,Sunny,Day,Yes,Urban,Yes,No,No,No,No,Yes,No,No
scene_090,Sunny,Day,No,Residential,No,No,No,No,No,Yes,No,No
scene_091,Sunny,Day,Yes,Urban,No,Yes,No,No,No,No,No,No
scene_092,Sunny,Day,No,Residential,Yes,Yes,No,No,No,Yes,No,No
scene_093,Sunny,Day,No,Residential,No,No,No,No,No,Yes,No,No
scene_094,Sunny,Day,Yes,Urban,Yes,No,Yes,Yes,Yes,No,No,No
scene_095,Sunny,Day,Yes,Urban,No,No,Yes,Yes,No,No,No,No
scene_096,Sunny,Day,Yes,Urban,No,No,No,No,No,No,No,Yes
scene_097,Sunny,Day,No,Urban,No,No,Yes,Yes,No,No,No,No
scene_098,Sunny,Day,No,Urban,No,No,Yes,Yes,No,No,No,No
scene_099,Sunny,Day,Yes,Urban,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
scene_100,Overcast,Day,No,Residential,No,No,No,No,No,No,No,No
scene_101,Sunny,Day,No,Residential,No,Yes,No,No,No,Yes,No,No
